id,value
id_0,26.103597897844395
id_1,63.587593211240915
id_2,19.679134220791877
id_3,28.441134698051677
id_4,10.065460536114914
id_5,38.403703396232956
id_6,40.557878206706249
id_7,19.300158627528944
id_8,48.820137346567201
id_9,33.490968215878794
id_10,38.473693349637614
id_11,61.128476703624877
id_12,35.714478371539364
id_13,47.792694752362486
id_14,27.28325089055852
id_15,14.704819153873716
id_16,53.3786562954934
id_17,21.259560760463444
id_18,19.916846266210761
id_19,19.379927851011505
id_20,14.274206879906449
id_21,29.608112014741696
id_22,37.28319341265469
id_23,7.4587689823375847
id_24,58.220292054864352
id_25,48.455315610515001
id_26,27.028569562066249
id_27,8.3298839497010331
id_28,28.362286411078703
id_29,36.894596704781911
id_30,19.851333831438339
id_31,11.028945542542996
id_32,17.116873418324733
id_33,4.6157213401765258
id_34,17.647551959551304
id_35,40.669335570263733
id_36,19.35815268132049
id_37,28.724135043725767
id_38,8.5137329538747188
id_39,59.722935374839444
id_40,51.439897191851244
id_41,30.806410156323132
id_42,52.196413944731709
id_43,17.365840322405983
id_44,46.107429464518674
id_45,50.346557399745507
id_46,59.775077216121147
id_47,41.374550000372892
id_48,58.228900844004329
id_49,42.917870129373512
id_50,29.937215039146356
id_51,25.347177575256765
id_52,39.628864730799862
id_53,24.220675826574379
id_54,39.900104770092788
id_55,40.560043042968047
id_56,25.052380265913602
id_57,22.371949002068348
id_58,37.469382080389025
id_59,30.862497156492665
id_60,16.40388001938004
id_61,23.057595392432621
id_62,30.70080042182872
id_63,57.414991347368115
id_64,49.700303581089287
id_65,27.275047958322624
id_66,40.792476104791504
id_67,54.013015078558283
id_68,29.797340768993951
id_69,37.603861082556421
id_70,66.664338243879342
id_71,53.199086181097883
id_72,46.284921902784554
id_73,15.229305663945194
id_74,11.796099488400479
id_75,35.429260496550341
id_76,63.668697651884564
id_77,2.5097257698911419
id_78,40.603278660756438
id_79,41.09886903229912
id_80,7.9738834895889195
id_81,23.636764046351651
id_82,8.4490478285710289
id_83,34.846356327289513
id_84,10.394636655707755
id_85,5.7737538489931772
id_86,17.747086861700826
id_87,12.793651803159579
id_88,16.594314743630854
id_89,27.824770919352652
id_90,33.230804011178208
id_91,14.914959579577156
id_92,12.930558013245768
id_93,7.9009606521197808
id_94,39.45638375306315
id_95,17.056062299186863
id_96,16.806514173322661
id_97,10.872349132904024
id_98,9.9259856128959516
id_99,2.9456288386803653
id_100,11.496724241780248
id_101,19.992853173826845
id_102,11.715995853127668
id_103,7.0230620381869295
id_104,11.873827921163365
id_105,39.729540672684898
id_106,28.2233688794358
id_107,6.6368557986973489
id_108,17.019854860536913
id_109,14.4434875759548
id_110,12.699664164574028
id_111,16.1313254829257
id_112,13.609011791697956
id_113,29.028527832617844
id_114,20.695600536640207
id_115,16.246702950569532
id_116,6.0464215477220762
id_117,47.876633545499587
id_118,29.264011264459175
id_119,-0.15419284282853135
id_120,2.0675574290457979
id_121,14.884859904403786
id_122,15.207184352385831
id_123,15.747860190534993
id_124,8.3970237374012946
id_125,24.950374130456204
id_126,20.777622200183881
id_127,12.372598958531119
id_128,21.241009088642933
id_129,18.070900264980022
id_130,4.4240195826385129
id_131,36.86108239552685
id_132,13.086078359709786
id_133,20.434878945061158
id_134,24.126761834991797
id_135,19.800875843896009
id_136,7.447312185239376
id_137,19.031190053251589
id_138,81.416691278936327
id_139,63.007722251287213
id_140,25.258790727710895
id_141,16.789815915251481
id_142,25.48114430442623
id_143,6.289426618853625
id_144,10.343113057637991
id_145,10.098658135094185
id_146,19.938921790231408
id_147,6.9828485062365395
id_148,15.776756759744703
id_149,16.980443423854748
id_150,51.12390550650241
id_151,23.371696925296053
id_152,24.580450734092821
id_153,15.616114823259529
id_154,12.592687837723908
id_155,24.610276646584865
id_156,28.165490022595076
id_157,38.174223126628881
id_158,1.9907639467238005
id_159,22.498559906817693
id_160,44.774494158481936
id_161,19.651829619637141
id_162,63.557026971012377
id_163,17.230767741529515
id_164,34.584167094991678
id_165,23.133172651146282
id_166,24.213031353417151
id_167,1.697629732186261
id_168,69.497124630237138
id_169,19.70346801862901
id_170,15.282259385473115
id_171,71.437003734180024
id_172,23.468026529893312
id_173,0.56136261249679431
id_174,23.577738766918017
id_175,2.2395588730264451
id_176,5.9208730358472934
id_177,17.632510638414651
id_178,21.535749997527976
id_179,25.96751129402853
id_180,45.169618250826382
id_181,28.638554083142157
id_182,28.575271633460083
id_183,12.371350157443487
id_184,10.707657955182585
id_185,43.919973661197012
id_186,36.950715869210896
id_187,35.920257545727232
id_188,17.139632804493822
id_189,23.872196471977972
id_190,13.095400459375133
id_191,13.620645928994366
id_192,33.03431884929563
id_193,76.603577974458133
id_194,30.044501726028852
id_195,10.862589340129087
id_196,65.971413624999869
id_197,12.957300851085201
id_198,21.070135494054554
id_199,23.221051947862652
id_200,130.72003097819817
id_201,26.233594308161003
id_202,58.942735887483536
id_203,4.5738315093657
id_204,63.600902681166133
id_205,38.55630076829182
id_206,15.972247188538445
id_207,13.29113966853957
id_208,64.877711048076293
id_209,13.695272034524152
id_210,27.838584303230594
id_211,72.1283934644308
id_212,20.539366458961997
id_213,112.24234156909716
id_214,42.374867667895323
id_215,80.622325018400403
id_216,97.113991823461333
id_217,72.978294471058817
id_218,26.698295422470242
id_219,15.560302518796881
id_220,33.122108878645328
id_221,59.87648518150155
id_222,29.918864641413023
id_223,42.280131156102023
id_224,41.547815279248518
id_225,7.9721281199078415
id_226,3.8988397889302235
id_227,77.27041609276003
id_228,30.008932900262064
id_229,2.2051557553929522
id_230,39.996456069026898
id_231,15.894366768451233
id_232,25.645017121744736
id_233,9.0308647704461951
id_234,10.917946682844729
id_235,25.443931205633646
id_236,12.919767124618575
id_237,6.7152412032713116
id_238,21.172262943060083
id_239,8.1860684042722998
